Year,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Rep.,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Rep.,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Rep.,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.","Korea, United",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Vincent and the Grenadines,Saint-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),Yemen Arab Republic (Former),Yemen Democratic (Former),"Yemen, Rep.",Yugoslavia,Zambia,Zimbabwe
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,391,775",,,,,,,,,,,,,,,,,,,,,"13,983,890",,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,385,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,396,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,408,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,420,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,439,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,467,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"572,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,496,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,522,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,545,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,"3,280,000",,"437,000","2,689,000",,"2,654","1,567,028","2,025",,"534,000","413,326","19,286","334,000","3,369,000","879,960","27,350","64,474","20,000,000","81,729","2,355,081","3,434,000","25,526","636,559",,"89,989","1,100,000","851,806",,"4,507,000",,"2,128","2,187,000","1,665,421","899,097","2,090,000","1,860,054","816,000","55,716","2,439","479,444",,"43,908","771,447","381,000,000",,0,"1,206,000","56,346","5,163,819","314,465",,"63,000","1,088,530","1,227,886","605,000",,"5,516,349","7,657,000","1,155,000","22,848","19,950","89,000","5,773,904","500,000","4,194,000","248,000","80,377","205,010","3,154,000","334,136","2,948,990","13,537",,,"1,169,000","31,250,000","9,899",,"158,227","103,274","1,072,178","24,905,000","2,016,034","9,873","2,312,000","9,584","29,409","80,726",,"595,000","19,488","983,959","218,167","166,034","723,000",,"135,000","20,000","4,146,000","61,428","175,349,000","16,973,147","6,560,000","1,093,000","5,052,603","23,533",,"20,176,000","401,000","31,000,000","24,420","217,000","2,041,282",,"17,876","4,345,000","9,395,000","13,740,000","383,778","81,280","530,343","470,000","590,588","332,000","276,361","313,543","538,000","5,802","778,655","127,030",,"391,865","1,683,000",,"287,000","42,378","1,403,398","134,072","5,828","84,039","382,696",,"8,219","6,587,000","16,416","712,558","7,789","619,000","126,582","5,230","2,689,000","2,096,000","3,506,000",,"1,834","3,881,000","2,333,000","42,536","29,432","100,000",,"219,387","1,244,861","12,100,855",,,,"3,360","970,000","318,000","13,651,000","3,875","78,842","754,894","143,000","1,317,000","1,894,389",,"10,426,000","3,297,000","248,000","14,092","92,744","6,389,000","31,088,398","928,368",,"1,997","17,202",,"5,380","25,781","1,782",,"5,492","22,731","2,091,000","1,009,886","2,147,197","2,273,780","1,814,128","12,522","794,264","30,000","2,140,651","469,664","56,998","1,000,000",,"1,550,000",,1054890,"12,203,000","1,213,000","4,101,110","80,721",,,"2,564,747","1,986,000","1,337,000","2,000,000","466,629","3,019,768","4,665,000","137,262","445,985",,,,"60,000","875,000","10,074,000","367,215","3,296","2,499","2,101,397","11,215,490","40,153","16,186,397","9,980,510","55,000","54,765,000","1,919,159","3,721","27,791","718,000",,"14,747,000","2,788","6,551,000",,"1,782,615","551,928","2,593,000","5,215,000",,"1,085,814"
1821,,,,,,,,,,,,,,"331,000","3,386,000",,,,,,,"3,464,000",,,,,,,,,,,,,,,,,,,,,,"789,144","383,711,494",,,,,,,,,,,,,,,"1,167,000",,,,,,,,,,,,,,,,"1,186,000","31,460,000",,,,,,"25,260,000",,,"2,333,000",,,,,,,,,,,,,,,,,"17,114,146",,,"5,123,045",,,"20,306,000",,"31,032,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,365,000",,,,,,,,,,,,"984,000",,,,,,,,,,,"3,316,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,284,000",,,,,,"2,586,359","1,998,000",,,,,,,,,,,,,,,,,,,,"16,427,955","10,298,969",,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,"329,000","3,402,000",,,,,,,"3,495,000",,,"10,000",,,,,,,,,,,,,,,,,,,"807,304","386,442,286",,,,,,,,,,,,,,,"1,179,000",,,,,,,,,,,,,,,,"1,202,000","31,685,000",,,,,,"25,620,000",,,"2,355,000",,,,,,,,,,,,,,,,,"17,256,316",,,"5,170,718",,,"20,437,000",,"31,065,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400,000",,,,,,,,,,,,"998,000",,,,,,,,,,,"3,335,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,366,000",,,,,,"2,613,960","2,008,000",,,,,,,,,,,,,,,,,,,,"16,661,282","10,625,503",,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,"329,000","3,419,000",,,,,,,"3,526,000",,,,,,,,,,,,,,,,,,,,,,"825,890","389,192,512",,,,,,,,,,,,,,,"1,196,000",,,,,,,,,,,,,,,,"1,219,000","31,905,000",,,,,,"25,969,000",,,"2,376,000",,,,,,,,,,,,,,,,,"17,399,667",,,"5,219,102",,,"20,568,000",,"31,098,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,435,000",,,,,,,,,,,,"1,013,000",,,,,,,,,66,,"3,354,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,449,000",,,,,,"2,648,844","2,020,000",,,,,,,,,,,,,,,,,,,,"16,897,898","10,951,077",,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,"332,000","3,436,000",,,,,,,"3,557,000",,,,,,,,,,,,,,,,,,,,,,"844,866","391,962,310",,,,,,,,"65,000",,,,,,,"1,213,000",,,,,,,,,,,,,,,,"1,235,000","32,127,000",,,,,,"26,307,000",,,"2,398,000",,,,,,,,,,,,,,,,,"17,544,210",,,"5,267,487",,,"20,701,000",,"31,131,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,474,000",,,,,,,,,,,,"1,028,000",,,,,,,,,,,"3,373,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,532,000",,,,,,"2,688,620","2,031,000",,,,,,,,,,,,,,,,,,,,"17,139,513","11,276,695",,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,"333,000","3,452,000",,,,,,,"3,589,000",,,,,,,,,,,,,,,,,,,,,,"864,198","394,751,821",,,,,,,,,,,,,,,"1,228,000",,,,,,,,,,,,,,,,"1,252,000","32,350,000",,,,,,"26,650,000",,,"2,420,000",,,,,,,,,,,,,,,,,"17,689,952",,,"5,316,582",,,"20,834,000",,"31,164,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,514,000",,,,,,,,,,,,"1,044,000",,,,,,,,,,,"3,393,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,615,000",,,,,,"2,729,589","2,042,000",,,,,,,,,,,,,,,,,,,,"17,381,418","11,602,355",,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,"330,000","3,469,000",,,,,,,"3,620,000",,,,,,,,,,,,,,,,,,,,,,"883,855","397,561,184",,,,,,,,,,,,,,,"1,243,000",,,,,,,,,,,,,,,,"1,268,000","32,538,000",,,,,,"26,964,000",,,"2,443,000",,,,,,,,,,,,,,,,,"17,836,906",,,"5,366,390",,,"20,968,000",,"31,197,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,543,000",,,,,,,,,,,,"1,062,000",,,,,,,,,,,"3,412,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,699,000",,,,,,"2,769,921","2,054,000",,,,,,,,,,,,,,,,,,,,"17,629,610","11,928,057",,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,"328,000","3,486,000",,,,,,,"3,652,000",,,,,,,,,,,,,,,,,,,,,,"903,807","400,390,540",,,,,,,,,,,"704,000",,,,"1,255,000",,,,,,,,,,,,,,,,"1,310,000","32,727,000",,,,,,"27,249,000",,,"2,465,000",,,,,,,,,,,,,,,,,"17,985,080",,,"5,416,197",,,"21,103,000",,"31,230,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,561,000",,,,,,,,,,,,"1,079,000",,,,,,,,,,,"3,432,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,784,000",,,,,,"2,803,627","2,065,000",,,,,,,,,,,,,,,,,,,,"17,858,803","12,250,905",,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,"326,000","3,504,000",,,,,,,"3,685,000",,,,,,,,,,,,,,,,,,,,,,"924,027","403,240,033",,,,,,,,,,,,,,,"1,265,000",,,,,,,,,,,,,,,,"1,326,000","32,917,000",,,,,,"27,540,000",,,"2,488,000",,,,,,,,,,,,,,,,,"18,134,485",,,"5,466,716",,,"21,239,000",,"31,263,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,585,000",,,,,,,,,,,,"1,093,000",,,,,,,,,,,"3,452,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,869,000",,,,,,"2,828,241","2,077,000",,,,,,,,,,,,,,,,,,,,"18,093,284","12,580,590",,,,,,,,,,,,,,,,,
