Year,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Rep.,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Rep.,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Rep.,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.","Korea, United",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Nagorno-Karabakh,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Vincent and the Grenadines,Saint-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),Yemen Arab Republic (Former),Yemen Democratic (Former),"Yemen, Rep.",Yugoslavia,Zambia,Zimbabwe
1810,,,,,,,,,,,,,,,1491.1429,,,,607.2126074,,,1560.098039,,,,,,,,,,,,,,,,,,,,,,,922.4265847,,,,,,,,,,,,,,,1365.863196,,,,,,,,,,,,,,,,1055.394139,1447.003691,,,,,,1816.414398,,,949.3388419,,,,,,,,,,,,,,,,561.4221229,,750,700,1233.997842,,,1396.392825,,1069.234951,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2430.603379,,,,,,,,,,,963.8402134,,663.9939231,,,,,,,,1243.578314,1297.264052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.301418,,,,,,1182.869237,1639.9629,850,871.2733135,,,,,,,,,,,885.4264347,,,,,,,2769.164697,2050.5152,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,1496.927993,,,,607.0546646,,,1560.708802,,,,,,,,,,,,,,,,,,,,,,,916.3094709,,,,,,,,,,,,,,,1368.187092,,,,,,,,,,,,,,,,1057.181315,1453.006721,,,,,,1828.951404,,,950.844403,,,,,,,,,,,,,,,,561.2760908,,750,700,1236.100718,,,1352.89149,,1070.662866,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2463.50587,,,,,,,,,,,965.2352764,,663.8212109,,,,,,,,1248.190014,1298.556577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.671863,,,,,,1270.665213,1642.737213,850,871.2733135,,,,,,,,,,,886.9924991,,,,,,,2772.764611,2093.549823,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,1502.73553,,,,606.896763,,,1561.319805,,,,,,,,,,,,,,,,,,,,,,,910.2329231,,,,,,,,,,,,,,,1370.514942,,,,,,,,,,,,,,,,1058.971518,1459.034656,,,,,,1841.574941,,,952.3523519,,,,,,,,,,,,,,,,561.1300966,,750,700,1238.207178,,,1378.992291,,1072.092688,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2148.664267,,,,,,,,,,,966.6323587,,663.6485436,,,,,,,,1252.818817,1299.850389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483.050002,,,,,,1189.455513,1645.516219,850,871.2733135,,,,,,,,,,,888.5613335,,,,,,,2776.369205,2056.154732,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,1508.565597,,,,606.7389024,,,1561.931047,,,,,,,,,,,,,,,,,,,,,,,904.1966722,,,,,,,,,,,,,,,1372.846753,,,,,,,,,,,,,,,,1060.764752,1465.087598,,,,,,1854.285607,,,953.8626922,,,,,,,,,,,,,,,,560.9841404,,750,700,1240.317227,,,1418.143492,,1073.52442,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,1937.549367,,,,,,,,,,,968.031463,,663.4759212,,,,,,,,1257.464786,1301.145491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486.435854,,,,,,1212.18888,1648.299927,850,871.2733135,,,,,,,,,,,890.1329426,,,,,,,2779.978485,2079.254487,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,1514.418284,,,,606.5810828,,,1562.542528,,,,,,,,,,,,,,,,,,,,,,,898.2004509,,,,,,,,,,,,,,,1375.182531,,,,,,,,,,,,,,,,1062.561022,1471.165652,,,,,,1867.084003,,,955.3754278,,,,,,,,,,,,,,,,560.8382222,,750,700,1242.430873,,,1435.544025,,1074.958063,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,1872.823598,,,,,,,,,,,969.4325925,,663.3033437,,,,,,,,1262.127983,1302.441884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489.829436,,,,,,1221.521391,1651.088344,850,871.2733135,,,,,,,,,,,891.7073315,,,,,,,2783.592457,2119.349875,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,1520.293676,,,,606.4233043,,,1563.154249,,,,,,,,,,,,,,,,,,,,,,,892.2439939,,,,,,,,,,,,,,,1377.522283,,,,,,,,,,,,,,,,1064.360334,1477.26892,,,,,,1879.970734,,,956.8905624,,,,,,,,,,,,,,,,560.692342,,750,700,1244.54812,,,1374.642157,,1076.393622,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2485.356021,,,,,,,,,,,970.8357499,,663.1308112,,,,,,,,1266.808474,1303.739567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.230765,,,,,,1264.086929,1653.881478,850,871.2733135,,,,,,,,,,,893.284505,,,,,,,2787.211128,2111.188856,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,1526.191864,,,,606.2655669,,,1563.766209,,,,,,,,,,,,,,,,,,,,,,,886.3270374,,,,,,,,,,,,,,,1379.866016,,,,,,,,,,,,,,,,1066.162694,1483.397509,,,,,,1892.94641,,,958.4080999,,,,,,,,,,,,,,,,560.5464996,,750,700,1246.668975,,,1352.89149,,1077.831097,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2369.94178,,,,,,,,,,,972.2409383,,662.9583235,,,,,,,,1271.506322,1305.038544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.63986,,,,,,1288.742979,1656.679338,850,871.2733135,,,,,,,,,,,894.8644681,,,,,,,2790.834502,2023.090272,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,1532.112933,,,,606.1078705,,,1564.378408,,,,,,,,,,,,,,,,,,,,,,,880.4493194,,,,,,,,,,,,,,,1382.213736,,,,,,,,,,,,,,,,1067.968105,1489.551523,,,,,,1906.011645,,,959.928044,,,,,,,,,,,,,,,,560.4006953,,750,700,1248.793445,,,1365.941891,,1079.270492,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2397.296227,,,,,,,,,,,973.6481605,,662.7858806,,,,,,,,1276.221591,1306.338815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.056738,,,,,,1251.486801,1659.48193,850,871.2733135,,,,,,,,,,,896.4472257,,,,,,,2794.462587,2021.750316,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,1538.056975,,,,605.9502151,,,1564.990848,,,,,,,,,,,,,,,,,,,,,,,874.6105798,,,,,,,,,,,,,,,1384.565452,,,,,,,,,,,,,,,,1069.776573,1495.731067,,,,,,1919.167057,,,961.4503987,,,,,,,,,,,,,,,,560.2549288,,750,700,1250.921534,,,1465.994959,,1080.711809,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2439.554968,,,,,,,,,,,975.0574196,,662.6134826,,,,,,,,1280.954347,1307.640382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.481417,,,,,,1261.79332,1662.289264,850,871.2733135,,,,,,,,,,,898.0327827,,,,,,,2798.095388,2027.303643,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,1544.024077,,,,605.7926007,,,1565.603527,,,,,,,,,,,,,,,,,,,,,,,868.8105601,,,,,,,,,,,,,,,1386.921168,,,,,,,,,,,,,,,,1071.588104,1501.936248,,,,,,1932.413268,,,962.9751676,,,,,,,,,,,,,,,,560.1092003,,750,700,1253.053251,,,1457.294692,,1082.155051,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2329.639469,,,,,,,,,,,976.4687184,,662.4411295,,,,,,,,1285.704653,1308.943245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506.913914,,,,,,1250.794223,1665.101346,850,871.2733135,,,,,,,,,,,899.6211442,,,,,,,2801.732912,2023.018746,,,,,,,,,,,,,,,,,
1820,,472.0534996,,613.8273808,765.8760544,674.4537263,1302.612118,359.9325819,775.6687106,538.376199,871.6252695,378.4032544,575.8550543,701.0331109,1550.01433,478.1291135,1409.188697,812.8182684,605.6350273,1017.813988,514.5506493,1566.216446,542.9680974,553.7183009,1667.687728,539.5629811,695.052146,501.1211031,407.3593419,539.0243958,527.4307462,1011.68059,853.8574526,454.3319222,447.5914113,809.2345707,517.4604708,1312.466239,340,954.072514,345.8381243,400.6886094,,702.100651,863.0490035,,,522.9751617,800.6066018,394.0276101,387.3762863,404.6722358,670.1203273,549.1860721,1252.802758,1123.879484,592.0964174,1622.740983,,1389.280892,380.7345805,688.1207822,426.2991145,,1085.125019,748.7476475,804.3069882,379.1324358,583.9505885,,787.422501,619.2128761,,,472.1176084,1073.402703,1508.167171,819.2690744,809.3444716,377.5397953,440.8610476,422.0337622,1945.750906,505.1443463,,964.5023547,414.4674922,775.6687106,760.9767423,,682.7452878,947.3542678,375.9566028,345,910.6856442,503.8080444,,583.8040582,790.1538069,1419.843126,828.9349843,559.9635096,518.7273491,750,700,1255.1886,,886.7108382,1452.944559,1350.395679,1083.600221,,528.6885345,686.1729917,512.928242,505.8402948,698.182626,596.007469,,,665.0331287,387.8731044,748.5419779,540.115646,932,364,544.6538434,570,1421.031402,1091.508005,1184.192835,607.0083537,817.5579265,434.1407709,360,750.1260077,472.1176084,427.4305212,532.8867756,539.5629811,944.0485757,374.3828021,799.6110593,,1105.625826,553.0520556,467.3173818,1302.612118,606.925928,1135.692329,620.5349685,497.1718583,358,569.0749765,,350,573.2856674,419.1763285,2501.287245,698.1018395,944.2352169,541.6202104,726.9695229,371.2631538,576.3794447,,,,741.899099,977.8820599,886.7108382,662.2688212,876.7898442,686.6575255,573.2856674,564.1589306,697.3002156,626.965186,,1290.472576,1310.247407,775.1038049,591.1405588,692.3308827,1116.864206,1012.512953,368.9970394,,813.2077456,775.6687106,930.8024527,,620.5349685,,1308.440229,1065.773551,674.6997389,443.3554191,420.7302392,1336.322942,,,629.3774513,508.3960133,861.8206728,1197.598799,1386.435052,387.8108926,498.8337845,,759.0465683,,487.2607279,1510.354248,453.5954432,484.739327,1004.129429,,414.0398657,1268.188279,1667.918186,850,871.2733135,493.0476432,470.6448695,496.9825317,518.7273491,535.5893858,,667.7091891,,774.2106984,517.3185766,901.2123149,646.8766127,853.2355816,1011.68059,461.0826407,628.6430818,849.7645533,2805.375165,2011.221555,784.4627425,,350,580.0302046,829.5780834,442.0212955,738.9256985,,,459.7089858,,,,665.0331287,,364.4648106,372.8183375
